ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
77;Alimentos y bebidas;Harina trigo común 0000;Cololó;Paquete 1 kg.;377;42;44;56;57.642;74;74;8.93024368;16;53.603;0.0754;0.1549;Nov25
78;Alimentos y bebidas;Harina trigo común 0000;Primor;Paquete 1 kg.;218;48;49;57;57.22;65;69;3.020649366;2;57.208;0.0002;0.0528;Nov25
79;Alimentos y bebidas;Helado familiar;Conaprole;Envase 1lt.;461;221;245;283;278.584;315;349;22.45937234;47;291.238;-0.0434;0.0806;Nov25
80;Alimentos y bebidas;Helado familiar;Crufi;Envase 1lt.;364;229;245;310;306.034;355;382;31.54798041;49;293.816;0.0416;0.1031;Nov25
82;Limpieza del hogar;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;633;65.8;66;89.9;89.313;103;113;7.906935233;7;88.989;0.0036;0.0885;Nov25
83;Limpieza del hogar;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;607;65;69;82;82.542;100;106;7.918669165;15;81.779;0.0093;0.0959;Nov25
84;Limpieza del hogar;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;464;49;59;80;77.665;89.9;98;7.99495485;11;76.959;0.0092;0.1029;Nov25
85;Alimentos y bebidas;Huevos colorados;El Jefe;Envase 1/2 docena;109;98;99;113;114.876;133.39;133.39;5.240287477;3;115.483;-0.0053;0.0456;Nov25
86;Alimentos y bebidas;Huevos colorados;Prodhin;Envase 1/2 docena;316;99;105;117;119.046;131;131;5.847089233;12;119.869;-0.0069;0.0491;Nov25
87;Alimentos y bebidas;Huevos colorados;Super huevo;Envase 1/2 docena;299;89;98;122;116.761;135.3475;141;10.92136696;15;117.161;-0.0034;0.0935;Nov25
88;Cuidado personal;Jabón de tocador;Astral plata;Unidad 125 grs.;707;34.3;35;47;47.023;63;69;5.300777437;1;46.703;0.0069;0.1127;Nov25
89;Cuidado personal;Jabón de tocador;Palmolive;Unidad 125 grs.;198;25;26;33;36.347;51;51;8.385332739;10.1;36.353;-0.0002;0.2307;Nov25
90;Cuidado personal;Jabón de tocador;Rexona;Unidad 125 grs.;397;33;33;49;52.218;72;80;11.62411699;16;52.143;0.0014;0.2226;Nov25
91;Limpieza del hogar;Jabón en polvo máquina;Drive;Paquete 800 grs.;136;130;132;169;156.42;178.53;178.53;15.27885953;27;156.42;0;0.0977;Nov25
92;Limpieza del hogar;Jabón en polvo máquina;Nevex;Paquete 800 grs.;603;141.4;159;194.9;191.827;229.57;232;12.31057279;20;188.147;0.0196;0.0642;Nov25
93;Limpieza del hogar;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;566;117;117;151;151.012;175.51;179;9.843199066;14;151.138;-0.0008;0.0652;Nov25
