ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;459;86,45;87,9;99;102,195;131;137;7,379719968;7;101,219;0,0096;0,0722;Ene25
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;99;99;99;99;99;99;0;0;95,317;0,0386;0;Ene25
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;423;86;98;118;116,492;137;149,07;8,348230031;10;110,509;0,0541;0,0717;Ene25
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;91;91;95;97,615;109;109;7,841872088;18;98,29;-0,0069;0,0803;Ene25
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;84;84;103;102,085;110;110;7,007012464;1;94,64;0,0787;0,0686;Ene25
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;318;70;76;88;88,807;120;126;9,665458423;16;90,939;-0,0234;0,1088;Ene25
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;407;79;98;129;125,45;155;157;10,68946749;10;124,781;0,0054;0,0852;Ene25
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;417;113,4;129;140;145,098;165;168;9,550568347;6;144,927;0,0012;0,0658;Ene25
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;393;58;63;71;72,087;98;98;6,644146973;7;70,045;0,0292;0,0922;Ene25
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;429;48;59,9;79;74,817;90;93;7,38536708;10;70,856;0,0559;0,0987;Ene25
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;93;58;58,32;75;74,525;99;99;4,323477078;0;74,59;-9,00E-04;0,058;Ene25
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;453;43;47;59;59,134;70;73;3,386991669;3;59,394;-0,0044;0,0573;Ene25
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;381;58;58;74;73,471;85;87;3,552138278;1;73,481;-1,00E-04;0,0483;Ene25
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;565;59;62;74;75,433;80;80;3,684422904;6;75,328;0,0014;0,0488;Ene25
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;405;43;47;59;58,898;70;73;3,299821954;3;59,2;-0,0051;0,056;Ene25
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;563;59;62;74;75,43;80;80;3,689182004;6;75,33;0,0013;0,0489;Ene25
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;378;47;50;65;62,777;67;99;4,911202236;6;62,506;0,0043;0,0782;Ene25
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;377;102;104,9;130;128,045;135;151;5,006750163;3;127,215;0,0065;0,0391;Ene25
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;554;109;110;137;139,155;147;147;6,192809066;10;138,988;0,0012;0,0445;Ene25
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;136;269;279;342;341,225;390;395;20,66658068;10;329,102;0,0368;0,0606;Ene25
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;195;270;289;345;341,041;425,44;435;28,69840547;26;339,447;0,0047;0,0841;Ene25
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;269;35;38;49;49,174;63;75;4,629288716;6;48,683;0,0101;0,0941;Ene25
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;391;55,9;60;76;75,563;85;89;6,026066036;10;75,996;-0,0057;0,0797;Ene25
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;395;54;58;75;74,315;85;85;5,599878411;2;74,054;0,0035;0,0754;Ene25
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;52;31;31;39;38,577;59;59;4,882191351;3;38,577;0;0,1266;Ene25
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;443;56;62;82;79,895;89;92,59;6,166084167;9;79,157;0,0093;0,0772;Ene25
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;177;33;35;55;49,87;60;60;7,427759979;15;50,597;-0,0144;0,1489;Ene25
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;366;29;35;51;50,471;58;60;3,847690359;2,26;47,906;0,0535;0,0762;Ene25
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;164;19;22;31;30,918;37;49;3,682771754;2;33,675;-0,0819;0,1191;Ene25
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;400;47;51;55;55,643;66;69;2,510443522;0;55,444;0,0036;0,0451;Ene25
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;395;49;49;55;54,684;65;69;2,420756305;2;54,712;-5,00E-04;0,0443;Ene25
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;426;195;209;278;278,162;336;347;21,17895514;13;272,725;0,0199;0,0761;Ene25
27;Alimentos y bebidas;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;421;200;244;335;327,633;395;415;27,675773;25;325,734;0,0058;0,0845;Ene25
28;Alimentos y bebidas;Café envasado (no instantáneo);Saint;Paquete 250 grs.;173;165;169;199;212,792;234,9;243;14,91246504;24;212,729;3,00E-04;0,0701;Ene25
30;Alimentos y bebidas;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;226;199;239;309;305,452;385;399;24,71927756;29;299,892;0,0185;0,0809;Ene25
29;Alimentos y bebidas;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;232;269;276,9;415;388,801;467;469;46,89334818;86;384,166;0,0121;0,1206;Ene25
31;Alimentos y bebidas;Cerveza;Patricia;Botella 960 ml.;423;138;140;177;172,155;182;195;11,74025085;0;175,857;-0,0211;0,0682;Ene25
32;Alimentos y bebidas;Cerveza;Pilsen;Botella 960 ml.;398;119;129;149;143,115;159;159;12,05329598;25;133,019;0,0759;0,0842;Ene25
33;Alimentos y bebidas;Cerveza;Zillertal;Botella 1 lt.;422;149,01;170;198;192,889;200;230;9,197381433;14,99;190,1;0,0147;0,0477;Ene25
37;Alimentos y bebidas;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;234;429;460;605;597,365;703;752;45,26704214;38,38;587,7;0,0164;0,0758;Ene25
38;Alimentos y bebidas;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;216;445;445;649;616,623;714;714;50,58980896;70;614;0,0043;0,082;Ene25
39;Alimentos y bebidas;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;107;299;301,3506;435;422,82;454;454;26,53947182;0;418,5;0,0103;0,0628;Ene25
40;Alimentos y bebidas;Cocoa;Copacabana;Envase 500 grs.;458;212;222;285;280,925;349;364;24,55804754;27;284,049;-0,011;0,0874;Ene25
41;Alimentos y bebidas;Cocoa;Vascolet;Envase 500 grs.;403;179;189;284,9;267,831;303;315;30,3268703;49;243,052;0,1019;0,1132;Ene25
48;Alimentos y bebidas;Dulce de leche;Conaprole;Envase 1 kg.;432;205;221;272;272,18;320;336;19,67064049;12;272,223;-2,00E-04;0,0723;Ene25
49;Alimentos y bebidas;Dulce de leche;Los Nietitos;Envase 1 kg.;459;159;165;214;214,286;249;261;16,5479548;20;211,224;0,0145;0,0772;Ene25
50;Alimentos y bebidas;Dulce de leche;Manjar;Envase 1 kg.;460;159;179;195;198,984;231;240;9,989769493;4,1;198,059;0,0047;0,0502;Ene25
51;Alimentos y bebidas;Dulce de membrillo;Los Nietitos;Envase 400 grs.;410;57;63;73;72,962;85;89;4,066293706;5;73,247;-0,0039;0,0557;Ene25
52;Alimentos y bebidas;Fideos secos al huevo;Adria;Paquete 500 grs.;394;47;47;91;87,446;99;109;11,45678913;3;85,984;0,017;0,131;Ene25
53;Alimentos y bebidas;Fideos secos al huevo;Cololó;Paquete 500 grs.;381;62,9;65;75;75,511;85;89;3,275641121;4;74,611;0,0121;0,0434;Ene25
54;Alimentos y bebidas;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;451;59;64,9;85;83,648;95;101;5,402338374;6,1;83,346;0,0036;0,0646;Ene25
55;Alimentos y bebidas;Fideos secos semolados;Adria;Paquete 500 grs.;227;44,9;44,99;66;63,358;81;86;7,588125024;15;63,421;-0,001;0,1198;Ene25
56;Alimentos y bebidas;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;251;42;45;64,9;61,385;69;72;5,638852482;8;61,36;4,00E-04;0,0919;Ene25
58;Alimentos y bebidas;Frankfurters cortos;Centenario;Paquete 8 us.;146;150;152;191,5;198,892;260;260;20,56554273;7,5;198,936;-2,00E-04;0,1034;Ene25
59;Alimentos y bebidas;Frankfurters cortos;Ottonello;Paquete 8 us.;382;149;149;184;184,042;199;228,5;8,305103423;10;184,161;-6,00E-04;0,0451;Ene25
60;Alimentos y bebidas;Frankfurters cortos;Schneck;Paquete 8 us.;446;194,9;215;255;259,976;305;305;19,84110627;23;254,874;0,02;0,0763;Ene25
61;Alimentos y bebidas;Galletitas al agua;Famosa;Paquete 140 grs.;541;49;49;70;70,997;82;85;6,781404523;6;69,768;0,0176;0,0955;Ene25
62;Alimentos y bebidas;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;91;40;40;40;40,935;47;47;1,481725513;1;40,935;0;0,0362;Ene25
63;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;594;115;125;142;145,808;157;157;8,534635672;15;145,957;-0,001;0,0585;Ene25
64;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;494;138;143;180;185,72;201;209;12,26371139;19;185,789;-4,00E-04;0,066;Ene25
66;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;449;129;145;172;166,382;185;198;10,02899673;17;166,249;8,00E-04;0,0603;Ene25
67;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;451;102;116;129;129,737;149;150;7,4630257;0;129,79;-4,00E-04;0,0575;Ene25
68;Alimentos y bebidas;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;383;29,9;30;37;36,488;45;46;2,864536198;3;36,21;0,0077;0,0785;Ene25
69;Alimentos y bebidas;Hamburguesas carne vacun;Paty;Paquete 2 unidades;169;48;48;84;74,823;114;114;18,39505271;33,9;69,988;0,0691;0,2458;Ene25
70;Alimentos y bebidas;Hamburguesas carne vacun;Schneck;Paquete 2 unidades;437;70;75;94;93,362;105;110;7,036626833;11;90,882;0,0273;0,0754;Ene25
71;Alimentos y bebidas;Harina de maíz;Gourmet;Paquete 450 grs.;100;29;29;35;33,98;36;36;1,56249566;1;33,973;2,00E-04;0,046;Ene25
72;Alimentos y bebidas;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;353;39;48;56;56,07;65,87;68,35;4,149661476;5;56,124;-0,001;0,074;Ene25
73;Alimentos y bebidas;Harina de maíz;Puritas;Paquete 450 grs.;430;29;32;41;40,859;59;59;4,347006765;6;40,844;4,00E-04;0,1064;Ene25
74;Alimentos y bebidas;Harina trigo común 000;Cañuelas;Paquete 1 kg.;498;39;45;53;56,029;65;67;4,691254109;9;55,761;0,0048;0,0837;Ene25
75;Alimentos y bebidas;Harina trigo común 000;Cololó;Paquete 1 kg.;142;43;44;49,9;48,145;62;62;3,77360023;4,9;48,168;-5,00E-04;0,0784;Ene25
76;Alimentos y bebidas;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;522;48;49;63;61,345;69;75;4,40951392;4;61,538;-0,0031;0,0719;Ene25
77;Alimentos y bebidas;Harina trigo común 0000;Cololó;Paquete 1 kg.;362;40;45;59;60,676;74;76;6,702242848;12;59,03;0,0279;0,1105;Ene25
363;Alimentos y bebidas;Harina trigo común 0000;Granja La Sonrisa;Paquete 1 kg.;67;47;47;47;48,128;53;53;1,509223361;2,9;48,128;0;0,0314;Ene25
360;Alimentos y bebidas;Harina trigo común 0000;Precio Líder;Paquete 1 kg.;90;45;45;59;56,215;59;59;5,589679823;0;54,206;0,0371;0,0994;Ene25
78;Alimentos y bebidas;Harina trigo común 0000;Primor;Paquete 1 kg.;185;48;48;58;58,598;69;69;4,012701762;3;57,954;0,0111;0,0685;Ene25
358;Alimentos y bebidas;Harina trigo común 0000;Tata;Paquete 1 kg.;86;49;55;59;57,299;59;59;1,99152977;4;55;0,0418;0,0348;Ene25
364;Alimentos y bebidas;Harina trigo común 0000;Tienda Inglesa;Paquete 1 kg.;19;59;59;68;68,417;77;77;4,296268031;1;63,338;0,0802;0,0628;Ene25
79;Alimentos y bebidas;Helado familiar;Conaprole;Envase 1lt.;450;224;239;279;277,501;313;337;14,86731076;10,05;278,965;-0,0052;0,0536;Ene25
80;Alimentos y bebidas;Helado familiar;Crufi;Envase 1lt.;302;229;239;289;284,934;310;358;23,29171374;34;284,133;0,0028;0,0817;Ene25
85;Alimentos y bebidas;Huevos colorados;El Jefe;Envase 1/2 docena;104;99;99;113;114,97;131;131;6,191748579;3;114,942;2,00E-04;0,0539;Ene25
86;Alimentos y bebidas;Huevos colorados;Prodhin;Envase 1/2 docena;309;99;106;121;120,228;135;135;6,195783614;2;118,966;0,0106;0,0515;Ene25
87;Alimentos y bebidas;Huevos colorados;Super huevo;Envase 1/2 docena;300;92;94;112;110,395;124;129;6,288447067;8,9;109,183;0,0111;0,057;Ene25
97;Alimentos y bebidas;Jamón cocido no artesanal;Cattivelli;1 kg.;32;545;545;690;670,67;790;790;52,65805418;34;650,047;0,0317;0,0785;Ene25
98;Alimentos y bebidas;Jamón cocido no artesanal;Ottonello;1 kg.;217;400;560;666;662,912;730;730;30,45649509;30;641,001;0,0342;0,0459;Ene25
100;Alimentos y bebidas;Leonesa;Ottonello;1 kg.;82;400;415;460;457,657;590;590;20,65011521;0;455,757;0,0042;0,0451;Ene25
101;Alimentos y bebidas;Leonesa;Schneck;1 kg.;246;460;475;680;654,659;770;774;54,4689105;40;629,89;0,0393;0,0832;Ene25
102;Alimentos y bebidas;Manteca;Calcar;Envase 200 grs.;23;61;61;69;69,718;90;90;6,178208915;8;69,718;0;0,0886;Ene25
103;Alimentos y bebidas;Manteca;Conaprole sin sal;Envase 200 grs.;564;86;87;104;105,816;117;120;9,188968451;20;104,56;0,012;0,0868;Ene25
104;Alimentos y bebidas;Manteca;Kasdorf;Envase 200 grs.;288;85;92;99;99,177;110;115;4,667490894;3;99,561;-0,0039;0,0471;Ene25
380;Alimentos y bebidas;Margarina;Adorita;Envase 250 grs.;373;35;37;57;56,214;66;69;4,818660778;4;56,221;-1,00E-04;0,0857;Ene25
105;Alimentos y bebidas;Margarina;Doriana nueva;Envase 250 grs.;130;52;55;82;88,664;120;120;15,67552289;20;88,682;-2,00E-04;0,1768;Ene25
381;Alimentos y bebidas;Margarina;Qualy;Envase 250 grs.;299;32;35;58;59,832;70;76;5,599971477;5;59,393;0,0074;0,0936;Ene25
109;Alimentos y bebidas;Mayonesa común;Hellmans;Envase 500 grs.;404;115;125;176;172,822;193;198;14,07040492;24;170,845;0,0116;0,0814;Ene25
110;Alimentos y bebidas;Mayonesa común;Uruguay;Envase 500 grs.;411;69;82;95;96,566;125,73;126;10,21545156;13;95,263;0,0137;0,1058;Ene25
112;Alimentos y bebidas;Mermelada de durazno;El Hogar;Envase 500 grs.;128;64;64;89;84,349;149;149;18,91585985;20;84,349;0;0,2243;Ene25
113;Alimentos y bebidas;Mermelada de durazno;Los Nietitos;Envase 500 grs.;460;99;111;120;120,644;129;146;3,960224863;3;120,575;6,00E-04;0,0328;Ene25
114;Alimentos y bebidas;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;27;339;339;435;432,519;489;489;55,3709834;123;421,773;0,0255;0,128;Ene25
115;Alimentos y bebidas;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;199;339;369;429;419,3;515;549;39,89881765;73;424,072;-0,0113;0,0952;Ene25
116;Alimentos y bebidas;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;153;279;297;359;355,404;393;395;18,3438671;29;341,283;0,0414;0,0516;Ene25
117;Alimentos y bebidas;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;212;289;289;355;341,523;435;473;37,05830786;67;337,7;0,0113;0,1085;Ene25
119;Alimentos y bebidas;Pan de molde lacteado;Bimbo;Paquete 330 grs.;297;104,9;109;131;129,741;155;162;8,584851883;8;129,822;-6,00E-04;0,0662;Ene25
118;Alimentos y bebidas;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;397;99;99;122;123,549;149,9;149,9;10,49540423;11,06;123,597;-4,00E-04;0,0849;Ene25
120;Alimentos y bebidas;Pan de molde lacteado;Pan Catalán;Paquete 330 grs.;77;72;72;76;77,56;95;95;3,50573121;3;77,602;-5,00E-04;0,0452;Ene25
121;Alimentos y bebidas;Pan flauta;Sin marca;Unidad aprox215 grs.;111;42;42;87;82,091;97;97;13,09304068;0;81,967;0,0015;0,1595;Ene25
128;Alimentos y bebidas;Peceto vacuno;Sin Marca;1 kg.;224;335;369;429;417,242;509;539;38,96917811;73;414,009;0,0078;0,0934;Ene25
129;Alimentos y bebidas;Pescado fresco;bifes de merluz - sin marca;1 kg.;109;389;389;479;468,083;499;499;30,06680919;0;466,794;0,0028;0,0642;Ene25
130;Alimentos y bebidas;Pollo entero fresco con menudos;Avícola del Oeste;1 kg.;220;139;139;175;178,076;229;229;14,53280861;19;178,019;3,00E-04;0,0816;Ene25
132;Alimentos y bebidas;Pollo entero fresco con menudos;Tres Arroyos;1 kg.;33;129;129;199;181,318;229;229;28,6108317;50;182,545;-0,0067;0,1578;Ene25
133;Alimentos y bebidas;Pulpa de tomate;Conaprole;Envase 1 lt.;587;85;86;100;100,139;110;122;4,435070953;3;100,613;-0,0047;0,0443;Ene25
134;Alimentos y bebidas;Pulpa de tomate;De Ley;Envase 1,020 lt.;427;59;63;77;78,162;89;89;7,167397529;8,1;79,683;-0,0191;0,0917;Ene25
135;Alimentos y bebidas;Pulpa de tomate;Gourmet;Envase 1 lt.;460;69;73;102;99,095;125;129;11,78294658;16;98,006;0,0111;0,1189;Ene25
136;Alimentos y bebidas;Queso rallado;Artesano;Paquete 80 grs.;187;115;115;130;134,295;159;159;11,69542214;20,15;134,521;-0,0017;0,0871;Ene25
137;Alimentos y bebidas;Queso rallado;Conaprole;Paquete 80 grs.;451;86,9;92;119;116,541;140;144;12,43783222;23;116,507;3,00E-04;0,1067;Ene25
138;Alimentos y bebidas;Queso rallado;Milky;Paquete 80 grs.;288;87;95;106;107,832;120;130;7,317772035;15;107,826;1,00E-04;0,0679;Ene25
139;Alimentos y bebidas;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;19;370;370,9;457;438,543;457;457;34,29797943;58;424,877;0,0322;0,0782;Ene25
140;Alimentos y bebidas;Sal fina yodada fluorada;Sek;Paquete 500 grs.;286;39;41;64;60,258;74;78;6,749744193;7;60,258;0;0,112;Ene25
141;Alimentos y bebidas;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;92;39;39;57;53,739;57;57;5,730162677;3,75;53,739;0;0,1066;Ene25
142;Alimentos y bebidas;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;283;40;40;54;52,808;60;61;4,069570527;3;52,859;-0,001;0,0771;Ene25
143;Alimentos y bebidas;Té negro en saquitos;Hornimans;Caja 10 us.;452;38;38;46;47,052;60;61;4,192855141;5;47,42;-0,0078;0,0891;Ene25
144;Alimentos y bebidas;Té negro en saquitos;La Virginia;Caja 10 us.;543;26;31;38;37,462;45;47;3,652577279;7;37,271;0,0051;0,0975;Ene25
145;Alimentos y bebidas;Té negro en saquitos;President;Caja 10 us.;379;58;59;69;69,811;82;89;3,85660051;4;69,281;0,0077;0,0552;Ene25
146;Alimentos y bebidas;Vino tinto común tetrabrick;Faisán;Envase 1 lt.;431;96;96;129;129,838;145;149;8,390333856;13;129,497;0,0026;0,0646;Ene25
147;Alimentos y bebidas;Vino tinto común tetrabrick;Santa Teresa Clásico;Envase 1 lt.;459;99;115;144;141,661;155;165;8,998702514;14;141,942;-0,002;0,0635;Ene25
148;Alimentos y bebidas;Vino tinto común tetrabrick;Tango;Envase 1 lt.;141;98;105;109;109,478;116;117;3,642482183;8;109,478;0;0,0333;Ene25
149;Alimentos y bebidas;Yerba mate común;Baldo;Paquete1 kg.;627;178;185;192;193,755;249,14;249,14;8,738877796;2;193,629;7,00E-04;0,0451;Ene25
150;Alimentos y bebidas;Yerba mate común;Canarias;Paquete1 kg.;609;182;188;194;199,158;269;269;17,12362584;2;198,977;9,00E-04;0,086;Ene25
151;Alimentos y bebidas;Yerba mate común;Del Cebador;Paquete1 kg.;428;134,9;135;177;178,693;221;225;14,93951198;9,1;176,65;0,0116;0,0836;Ene25
152;Alimentos y bebidas;Yogur;Calcar;Sachet 1 lt.;297;59;60,13;87;85,931;97;101;7,258453336;9;85,367;0,0066;0,0845;Ene25
153;Alimentos y bebidas;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;408;75;80;89;92,724;105;107;6,756220687;5;93,823;-0,0117;0,0729;Ene25
154;Alimentos y bebidas;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;237;56,9;58;89,9;91,267;103;108;8,145709727;9;91,263;0;0,0893;Ene25
318;Cuidado personal;Afeitadora;Gillette;2 unidades;474;398;408;542;545,384;619;638;45,49229218;39;543,659;0,0032;0,0834;Ene25
319;Cuidado personal;Afeitadora;Xtreme3;1 unidad;497;70;70;120;119,203;183;192;30,52528;25;118,659;0,0046;0,2561;Ene25
347;Cuidado personal;Alcohol en gel;Bioset;250 ml.;115;80;80;142;133,656;159;159;16,99805435;13;133,715;-4,00E-04;0,1272;Ene25
346;Cuidado personal;Alcohol rectificado;Droguería Paysandú;250 ml.;19;77;77;80;81,053;92;92;3,443758137;0;81,188;-0,0017;0,0425;Ene25
348;Cuidado personal;Algodón;Zig Zag Cisne;100 grs.;615;75;79;125;136,151;202;202;38,27417968;84;132,778;0,0254;0,2811;Ene25
320;Cuidado personal;Champú;Dove;400 ml.;561;327;382;444;446,571;509;524;25,27861776;3;438,04;0,0195;0,0566;Ene25
34;Cuidado personal;Champú;Fructis;Envase 350 ml.;585;191;227;343;326,469;389;389;37,59447383;28;325,392;0,0033;0,1152;Ene25
321;Cuidado personal;Champú;Pantene;400 ml.;595;374,9;399;453;451,311;527;555;29,19777283;18;438,342;0,0296;0,0647;Ene25
35;Cuidado personal;Champú;Sedal;Envase 350 ml.;202;175;179,9;227;222,511;256;256;14,99889807;19;222,522;0;0,0674;Ene25
36;Cuidado personal;Champú;Suave;Envase 930 ml.;357;124;139;167;176,551;298;298;21,34238971;29;170,91;0,033;0,1209;Ene25
349;Cuidado personal;Cinta adhesiva;Ready Plast;1 unidad;219;64;64;64;65,253;72;72;2,156800291;2,93;62,421;0,0454;0,0331;Ene25
331;Cuidado personal;Colonia + Talco;Bebe & Co;120 ml.;462;529,9;599;649;660,454;759;770,71;33,78146489;13;661,184;-0,0011;0,0511;Ene25
323;Cuidado personal;Crema facial;Asepxia;28 grs.;32;265;265;370;354,441;370;370;29,94899926;18,29;354,441;0;0,0845;Ene25
322;Cuidado personal;Crema facial;Revitalift;50 ml.;59;1469;1469;1469;1491,203;1597;1597;48,31183695;0;1491,203;0;0,0324;Ene25
350;Cuidado personal;Curitas;Ready Plast;8 unidades;382;29;30;56;51,414;71;79;14,75748299;29;49,894;0,0305;0,287;Ene25
42;Cuidado personal;Desodorante en aerosol;Axe Musk;Envase 113 grs.;624;146;146;194;193,159;236;243;15,8396904;7,1;190,631;0,0133;0,082;Ene25
43;Cuidado personal;Desodorante en aerosol;Dove Original;Envase 100 grs.;677;169;199;236,213;239,457;287;301;14,6688225;11;237,581;0,0079;0,0613;Ene25
44;Cuidado personal;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;575;154;165;209;208,786;245;257;15,72744684;20,65;207,27;0,0073;0,0753;Ene25
351;Cuidado personal;Gasa estéril;Sin Marca;40 unidades;177;63;65;90;88,822;90;90;3,429846365;0;86,333;0,0288;0,0386;Ene25
339;Cuidado personal;Jabón de glicerina;Ann Bow;140 grs.;419;58;65;82;80,018;100;103;8,922032241;9,1;79,183;0,0105;0,1115;Ene25
88;Cuidado personal;Jabón de tocador;Astral plata;Unidad 125 grs.;678;37;38;49;49,732;77,19;77,19;7,220268826;10;49,094;0,013;0,1452;Ene25
338;Cuidado personal;Jabón de tocador;Dove;90 grs.;676;55;58;75;76,904;93;98;6,142493766;5;75,074;0,0244;0,0799;Ene25
324;Cuidado personal;Jabón de tocador;Neutrogena;80 grs.;308;110;124;155;151,807;170,461;170,461;8,648364084;14;151,758;3,00E-04;0,057;Ene25
89;Cuidado personal;Jabón de tocador;Palmolive;Unidad 125 grs.;266;24;24;35;35,677;51;51;8,245310986;9,1;35,633;0,0012;0,2311;Ene25
90;Cuidado personal;Jabón de tocador;Rexona;Unidad 125 grs.;390;39;44;64,5;64,091;75;75;7,516800198;12;61,882;0,0357;0,1173;Ene25
327;Cuidado personal;Pañales;Babysec;48 unidades;515;688;929,9;1157;1149,809;1541;1541;130,5738033;118;1137,39;0,0109;0,1136;Ene25
328;Cuidado personal;Pañales;Huggies;40 unidades;430;484,9;589;676;669,954;807,32;829;56,93071269;83;666,666;0,0049;0,085;Ene25
326;Cuidado personal;Pañales adultos;Readysec;24 unidades;342;525;639;828;806,809;894;925;86,10411044;182;791,447;0,0194;0,1067;Ene25
122;Cuidado personal;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;220;72,5;75;105;107,504;143,82;147;12,81771609;16;107,522;-2,00E-04;0,1192;Ene25
123;Cuidado personal;Papel higiénico hoja simple;Higienol Export;4 rollos de 30 mts.;238;46;46;63;59,536;75;80;9,375738616;20;59,536;0;0,1575;Ene25
124;Cuidado personal;Papel higiénico hoja simple;Sin Fin;4 rollos de 50 mts.;420;99;99;126;130,568;160;164;13,64071453;13,5;136,121;-0,0408;0,1045;Ene25
125;Cuidado personal;Pasta dental;Colgate Herbal Blanqueador;90 grs.;597;49;49;73;75,487;101;106;9,673309585;8;73,901;0,0215;0,1281;Ene25
126;Cuidado personal;Pasta dental;Kolynos Triple acción;90 grs.;571;30;33;41;42,786;70;70;8,546517354;2;41,361;0,0345;0,1998;Ene25
127;Cuidado personal;Pasta dental;Pico Jenner Plus;90 grs.;192;30;31;59;55,806;69,9;75;6,635094461;5;55,81;-1,00E-04;0,1189;Ene25
341;Cuidado personal;Perfume;Casapueblo;100 ml.;219;442;442;579;592,622;865;865;82,21887564;0;568,069;0,0432;0,1387;Ene25
340;Cuidado personal;Perfume;Délice;50 ml.;260;529;539;621;642,601;733;733;48,73575367;7,33;631,827;0,0171;0,0758;Ene25
352;Cuidado personal;Protector solar SPF 20;Dermaglós;250 ml.;236;849;849;1311;1276,993;1383;1383;134,5220118;0;1276,993;0;0,1053;Ene25
354;Cuidado personal;Protector solar SPF 30;Hawaiian Tropic;180 ml.;262;893;951,3;1055;1077,671;1296;1361;60,81430883;52;1080,203;-0,0023;0,0564;Ene25
353;Cuidado personal;Protector solar SPF 40;Dermaglós;250 ml.;226;949;949;1562;1507,745;1649;1649;169,6906138;62;1474,962;0,0222;0,1125;Ene25
