Producto,producto_base,tipo_producto,marca,presentacion,presentacion_valor,presentacion_unidad,especificacion,es_producto_valido,requiere_revision
"agua mineral sin gas Salus (envase 2,25lt.)",agua mineral sin gas Salus,Agua mineral sin gas,Salus,"envase 2,25lt.",25.0,LT,,True,False
"agua mineral sin gas Salus (envase 6,25lt.)",agua mineral sin gas Salus,Agua mineral sin gas,Salus,"envase 6,25lt.",6.25,LT,,True,False
"agua mineral sin gas Vitale (envase 2,5lt.)",agua mineral sin gas Vitale,Agua mineral sin gas,Vitale,"envase 2,5lt.",5.0,LT,,True,False
Agua mineral sin gas(bidón) Nativa 6lts,Agua mineral sin gas(bidón) Nativa,Agua mineral sin gas bidon,Nativa,6lts,6.0,LT,,True,False
"Agua mineral sin gas(bidón) Salus 6,25lts",Agua mineral sin gas(bidón) Salus,Agua mineral sin gas bidon,Salus,"6,25lts",6.25,LT,,True,False
aguja con hueso Sin marca (1 kg.),aguja con hueso Sin marca,Aguja con hueso,Sin marca,1 kg.,1.0,KG,,True,False
aguja sin hueso Sin marca (1 kg.),aguja sin hueso Sin marca,Aguja sin hueso,Sin marca,1 kg.,1.0,KG,,True,False
Aguja vacuna Con Hueso - Sin Marca 1 kg.,Aguja vacuna Con Hueso - Sin Marca,Aguja vacuna,Sin marca,1 kg.,1.0,KG,Con Hueso,True,False
Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Aguja vacuna Sin Hueso - Sin Marca,Aguja vacuna,Sin marca,1 kg.,1.0,KG,Sin Hueso,True,False
Alcohol en gel Bioset 250 ml.,Alcohol en gel Bioset,Alcohol en gel,Bioset,250 ml.,250.0,ML,,True,False
alcohol en gel alcohol en gel Bioset (250 ml.),alcohol en gel alcohol en gel Bioset,Alcohol en gel,Bioset,250 ml.,250.0,ML,,True,False
Alcohol rectificado Droguería Paysandú 250 ml.,Alcohol rectificado Droguería Paysandú,Alcohol rectificado,Drogueria Paysandu,250 ml.,250.0,ML,,True,False
alcohol rectificado alcohol rectificado Drogueria paysandu (250 ml.),alcohol rectificado alcohol rectificado Drogueria paysandu,Alcohol rectificado,Drogueria Paysandu,250 ml.,250.0,ML,,True,False
Algodón Zig Zag Cisne 100 gr.,Algodón Zig Zag Cisne,Algodon,Zig Zag Cisne,100 gr.,100.0,GR,,True,False
algodon algodon Zig zag cisne (100 grs.),algodon algodon Zig zag cisne,Algodon,Zig Zag Cisne,100 grs.,100.0,GR,,True,False
Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Arroz blanco Aruba tipo Patna,Arroz blanco,Aruba,Bolsa 1 kg.,1.0,KG,Tipo Patna,True,False
Arroz blanco Blue Patna Bolsa 1 kg.,Arroz blanco Blue Patna,Arroz blanco,Blue Patna,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Green Chef Bolsa 1 kg.,Arroz blanco Green Chef,Arroz blanco,Green Chef,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Pony Bolsa 1 kg.,Arroz blanco Pony,Arroz blanco,Pony,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Saman Blanco Bolsa 1 kg.,Arroz blanco Saman Blanco,Arroz blanco,Saman Blanco,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Vidarroz Bolsa 1 kg.,Arroz blanco Vidarroz,Arroz blanco,Vidarroz,Bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Blue patna (bolsa 1 kg.),arroz calidad alta Blue patna,Arroz calidad alta,Blue Patna,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Green chef (bolsa 1 kg.),arroz calidad alta Green chef,Arroz calidad alta,Green Chef,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Saman blanco (bolsa 1 kg.),arroz calidad alta Saman blanco,Arroz calidad alta,Saman Blanco,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Aruba (bolsa 1 kg.),arroz calidad media Aruba,Arroz calidad media,Aruba,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Pony (bolsa 1 kg.),arroz calidad media Pony,Arroz calidad media,Pony,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Vidarroz (bolsa 1 kg.),arroz calidad media Vidarroz,Arroz calidad media,Vidarroz,bolsa 1 kg.,1.0,KG,,True,False
Arvejas en conserva Cololó Lata 380 grs.,Arvejas en conserva Cololó,Arvejas en conserva,Cololó,Lata 380 grs.,380.0,GR,,True,False
arvejas en conserva Cololo (lata 380 grs.),arvejas en conserva Cololo,Arvejas en conserva,Cololó,lata 380 grs.,380.0,GR,,True,False
Arvejas en conserva Nidemar Lata 300 grs.,Arvejas en conserva Nidemar,Arvejas en conserva,Nidemar,Lata 300 grs.,300.0,GR,,True,False
arvejas en conserva Nidemar (lata 300 grs.),arvejas en conserva Nidemar,Arvejas en conserva,Nidemar,lata 300 grs.,300.0,GR,,True,False
azucar blanca Azucarlito (paquete 1 kg.),azucar blanca Azucarlito,Azucar blanca,Azucarlito,paquete 1 kg.,1.0,KG,,True,False
azucar blanca Bella union (paquete 1 kg.),azucar blanca Bella union,Azucar blanca,Bella Unión,paquete 1 kg.,1.0,KG,,True,False
Azúcar blanco Azucarlito Paquete 1 kg.,Azúcar blanco Azucarlito,Azucar blanco,Azucarlito,Paquete 1 kg.,1.0,KG,,True,False
Azúcar blanco Bella Unión Paquete 1 kg.,Azúcar blanco Bella Unión,Azucar blanco,Bella Unión,Paquete 1 kg.,1.0,KG,,True,False
"Banana Brasil, 1 kg.",Banana Brasil,Banana,Sin marca,1 kg.,1.0,KG,Brasil,True,False
"Banana Ecuador, 1 kg.",Banana Ecuador,Banana,Sin marca,1 kg.,1.0,KG,Ecuador,True,False
banana brasil Sin marca (1 kg.),banana brasil Sin marca,Banana,Sin marca,1 kg.,1.0,KG,Brasil,True,False
banana ecuador Sin marca (1 kg.),banana ecuador Sin marca,Banana,Sin marca,1 kg.,1.0,KG,Ecuador,True,False
Café envasado (no instantáneo) Chaná Paquete 250 grs.,Café envasado (no instantáneo) Chaná,Cafe envasado no instantaneo,Chaná,Paquete 250 grs.,250.0,GR,,True,False
Café envasado (no instantáneo) Saint Paquete 250 grs.,Café envasado (no instantáneo) Saint,Cafe envasado no instantaneo,Saint,Paquete 250 grs.,250.0,GR,,True,False
Café envasado (no instantáneo) Águila Paquete 250 grs.,Café envasado (no instantáneo) Águila,Cafe envasado no instantaneo,Águila,Paquete 250 grs.,250.0,GR,,True,False
cafe instantaneo El chana (paquete 250 grs.),cafe instantaneo El chana,Cafe instantaneo,Chaná,paquete 250 grs.,250.0,GR,El,True,False
cafe instantaneo Saint (paquete 250 grs.),cafe instantaneo Saint,Cafe instantaneo,Saint,paquete 250 grs.,250.0,GR,,True,False
cafe instantaneo Aguila (paquete 250 grs.),cafe instantaneo Aguila,Cafe instantaneo,Águila,paquete 250 grs.,250.0,GR,,True,False
carne picada hasta 20% de grasa Sin marca (1 kg.),carne picada hasta 20% de grasa Sin marca,Carne picada,Sin marca,1 kg.,1.0,KG,Hasta 20% De Grasa,True,False
carne picada hasta 5% de grasa Sin marca (1 kg.),carne picada hasta 5% de grasa Sin marca,Carne picada,Sin marca,1 kg.,1.0,KG,Hasta 5% De Grasa,True,False
Carne picada vacuna Con Hasta 20% de grasa 1 kg.,Carne picada vacuna Con Hasta 20% de grasa,Carne picada vacuna,Sin marca,1 kg.,1.0,KG,Con Hasta 20% De Grasa,True,False
Carne picada vacuna Con Hasta 5% de grasa 1 kg.,Carne picada vacuna Con Hasta 5% de grasa,Carne picada vacuna,Sin marca,1 kg.,1.0,KG,Con Hasta 5% De Grasa,True,False
Cerveza Patricia Botella 960 ml.,Cerveza Patricia,Cerveza,Patricia,Botella 960 ml.,960.0,ML,,True,False
Cerveza Pilsen Botella 960 ml.,Cerveza Pilsen,Cerveza,Pilsen,Botella 960 ml.,960.0,ML,,True,False
Cerveza Zillertal Botella 1 lt.,Cerveza Zillertal,Cerveza,Zillertal,Botella 1 lt.,1.0,LT,,True,False
cerveza rubia Patricia (botella 960 ml.),cerveza rubia Patricia,Cerveza rubia,Patricia,botella 960 ml.,960.0,ML,,True,False
cerveza rubia Pilsen (botella 960 ml.),cerveza rubia Pilsen,Cerveza rubia,Pilsen,botella 960 ml.,960.0,ML,,True,False
cerveza rubia Zillertal (botella 1 lt.),cerveza rubia Zillertal,Cerveza rubia,Zillertal,botella 1 lt.,1.0,LT,,True,False
"Champú Dove, 400 ml.",Champú Dove,Champu,Dove,400 ml.,400.0,ML,,True,False
Champú Fructis Envase 350 ml.,Champú Fructis,Champu,Fructis,Envase 350 ml.,350.0,ML,,True,False
"Champú Pantene, 400 ml.",Champú Pantene,Champu,Pantene,400 ml.,400.0,ML,,True,False
Champú Sedal Envase 350 ml.,Champú Sedal,Champu,Sedal,Envase 350 ml.,350.0,ML,,True,False
Champú Suave Envase 930 ml.,Champú Suave,Champu,Suave,Envase 930 ml.,930.0,ML,,True,False
chorizo suelto Cattivelli-extra (1 kg.),chorizo suelto Cattivelli-extra,Chorizo suelto,Cattivelli,1 kg.,1.0,KG,Extra,True,False
chorizo suelto Centenario-extra (1 kg.),chorizo suelto Centenario-extra,Chorizo suelto,Centenario,1 kg.,1.0,KG,Extra,True,False
chorizo suelto La familia - hilo amarillo (1 kg.),chorizo suelto La familia - hilo amarillo,Chorizo suelto,La Familia,1 kg.,1.0,KG,Hilo Amarillo,True,False
Chorizos mezcla sueltos - Cattivelli - Extra 1 kg.,Chorizos mezcla sueltos - Cattivelli - Extra,Chorizos mezcla sueltos,Cattivelli,1 kg.,1.0,KG,Extra,True,False
Chorizos mezcla sueltos - Centenario - Extra 1 kg.,Chorizos mezcla sueltos - Centenario - Extra,Chorizos mezcla sueltos,Centenario,1 kg.,1.0,KG,Extra,True,False
Chorizos mezcla sueltos - La Familia - Hilo amarillo 1 kg.,Chorizos mezcla sueltos - La Familia - Hilo amarillo,Chorizos mezcla sueltos,La Familia,1 kg.,1.0,KG,Hilo Amarillo,True,False
Cinta adhesiva Ready Plast 1 unidad,Cinta adhesiva Ready Plast,Cinta adhesiva,Ready Plast,1 unidad,1.0,UNIDADES,,True,False
cinta adhesiva leuco Ready plast (1 unidad),cinta adhesiva leuco Ready plast,Cinta adhesiva leuco,Ready Plast,1 unidad,1.0,UNIDADES,,True,False
Cocoa Copacabana Envase 500 grs.,Cocoa Copacabana,Cocoa,Copacabana,Envase 500 grs.,500.0,GR,,True,False
Cocoa Vascolet Envase 500 grs.,Cocoa Vascolet,Cocoa,Vascolet,Envase 500 grs.,500.0,GR,,True,False
cocoa comun Copacabana (envase 500 grs.),cocoa comun Copacabana,Cocoa comun,Copacabana,Envase 500 grs.,500.0,GR,,True,False
cocoa comun Vascolet (envase 500 grs.),cocoa comun Vascolet,Cocoa comun,Vascolet,Envase 500 grs.,500.0,GR,,True,False
"Crema Facial Asepxia Emergencia Color Piel, 28 grs.",Crema Facial Asepxia Emergencia Color Piel,Crema facial,Asepxia,28 grs.,28.0,GR,Emergencia Color Piel,True,False
crema facial Aspexia (28 grs.),crema facial Aspexia,Crema facial,Aspexia,28 grs.,28.0,GR,,True,False
"Crema Facial Revitalift Filler Dia, 50 ml.",Crema Facial Revitalift Filler Dia,Crema facial,Revitalift,50 ml.,50.0,ML,Filler Dia,True,False
crema facial Revitalift (50 ml.),crema facial Revitalift,Crema facial,Revitalift,50 ml.,50.0,ML,,True,False
Curitas Ready Plast 8 us.,Curitas Ready Plast,Curitas,Ready Plast,8 unidades,8.0,UNIDADES,,True,False
curitas curitas Ready plast (8 unidades),curitas curitas Ready plast,Curitas,Ready Plast,8 unidades,8.0,UNIDADES,,True,False
desodorante aerosol Axe musk (envase 113 grs.),desodorante aerosol Axe musk,Desodorante aerosol,Axe,Envase 113 grs.,113.0,GR,Musk,True,False
desodorante aerosol Dove original (envase 100 grs.),desodorante aerosol Dove original,Desodorante aerosol,Dove,Envase 100 grs.,100.0,GR,Original,True,False
desodorante aerosol Rexona active emotion (envase 105 grs.),desodorante aerosol Rexona active emotion,Desodorante aerosol,Rexona,Envase 105 grs.,105.0,GR,Active Emotion,True,False
Desodorante en aerosol Axe Musk Envase 113 grs.,Desodorante en aerosol Axe Musk,Desodorante en aerosol,Axe,Envase 113 grs.,113.0,GR,Musk,True,False
Desodorante en aerosol Dove Original Envase 100 grs.,Desodorante en aerosol Dove Original,Desodorante en aerosol,Dove,Envase 100 grs.,100.0,GR,Original,True,False
Desodorante en aerosol Rexona Active Emotion Envase 105 grs.,Desodorante en aerosol Rexona Active Emotion,Desodorante en aerosol,Rexona,Envase 105 grs.,105.0,GR,Active Emotion,True,False
detergente comun Deterjane limon (envase 1.250 lt.),detergente comun Deterjane limon,Detergente comun,Deterjane,Envase 1.250 lt.,250.0,LT,Limon,True,False
detergente comun Hurra nevex limon (envase 1.250 lt.),detergente comun Hurra nevex limon,Detergente comun,Hurra Nevex,Envase 1.250 lt.,250.0,LT,Limon,True,False
detergente comun Protergente (envase 1 lt.),detergente comun Protergente,Detergente comun,Protergente,Envase 1 lt.,1.0,LT,,True,False
Detergente para vajilla Deterjane limón Envase 1.250 lt.,Detergente para vajilla Deterjane limón,Detergente para vajilla,Deterjane,Envase 1.250 lt.,250.0,LT,Limon,True,False
Detergente para vajilla Hurra Nevex Limón Envase 1.250 lt.,Detergente para vajilla Hurra Nevex Limón,Detergente para vajilla,Hurra Nevex,Envase 1.250 lt.,250.0,LT,Limon,True,False
Detergente para vajilla Protergente limón Envase 1 lt.,Detergente para vajilla Protergente limón,Detergente para vajilla,Protergente,Envase 1 lt.,1.0,LT,Limon,True,False
Dulce de leche Conaprole Envase 1 kg.,Dulce de leche Conaprole,Dulce de leche,Conaprole,Envase 1 kg.,1.0,KG,,True,False
dulce de leche Conaprole (envase 1 kg.),dulce de leche Conaprole,Dulce de leche,Conaprole,Envase 1 kg.,1.0,KG,,True,False
Dulce de leche Los Nietitos Envase 1 kg.,Dulce de leche Los Nietitos,Dulce de leche,Los Nietitos,Envase 1 kg.,1.0,KG,,True,False
dulce de leche Los nietitos (envase 1 kg.),dulce de leche Los nietitos,Dulce de leche,Los Nietitos,Envase 1 kg.,1.0,KG,,True,False
Dulce de leche Manjar Envase 1 kg.,Dulce de leche Manjar,Dulce de leche,Manjar,Envase 1 kg.,1.0,KG,,True,False
dulce de leche Manjar (envase 1 kg.),dulce de leche Manjar,Dulce de leche,Manjar,Envase 1 kg.,1.0,KG,,True,False
Dulce de membrillo Los Nietitos Envase 400 grs.,Dulce de membrillo Los Nietitos,Dulce de membrillo,Los Nietitos,Envase 400 grs.,400.0,GR,,True,False
dulce de membrillo Los nietitos (envase 400 grs.),dulce de membrillo Los nietitos,Dulce de membrillo,Los Nietitos,Envase 400 grs.,400.0,GR,,True,False
Fideos secos al huevo Adria Paquete 500 grs.,Fideos secos al huevo Adria,Fideos secos al huevo,Adria,Paquete 500 grs.,500.0,GR,,True,False
fideos secos al huevo Adria (paquete 500 grs.),fideos secos al huevo Adria,Fideos secos al huevo,Adria,Paquete 500 grs.,500.0,GR,,True,False
Fideos secos al huevo Cololó Paquete 500 grs.,Fideos secos al huevo Cololó,Fideos secos al huevo,Cololó,Paquete 500 grs.,500.0,GR,,True,False
fideos secos al huevo Cololo (paquete 500 grs.),fideos secos al huevo Cololo,Fideos secos al huevo,Cololó,paquete 500 grs.,500.0,GR,,True,False
Fideos secos al huevo Las Acacias Paquete 500 grs.,Fideos secos al huevo Las Acacias,Fideos secos al huevo,Las Acacias,Paquete 500 grs.,500.0,GR,,True,False
fideos secos al huevo Las acacias (paquete 500 grs.),fideos secos al huevo Las acacias,Fideos secos al huevo,Las Acacias,paquete 500 grs.,500.0,GR,,True,False
Fideos secos semolados Adria Paquete 500 grs.,Fideos secos semolados Adria,Fideos secos semolados,Adria,Paquete 500 grs.,500.0,GR,,True,False
fideos secos semolados Adria (paquete 500 grs.),fideos secos semolados Adria,Fideos secos semolados,Adria,Paquete 500 grs.,500.0,GR,,True,False
Fideos secos semolados Las Acacias - franja celeste Paquete 500 grs.,Fideos secos semolados Las Acacias - franja celeste,Fideos secos semolados,Las Acacias,Paquete 500 grs.,500.0,GR,Franja Celeste,True,False
fideos secos semolados Las acacias (paquete 500 grs.),fideos secos semolados Las acacias,Fideos secos semolados,Las Acacias,paquete 500 grs.,500.0,GR,,True,False
frankfurter cortos Centenario (paquete 8 us.),frankfurter cortos Centenario,Frankfurter cortos,Centenario,Paquete 8 us.,8.0,UNIDADES,,True,False
frankfurter cortos Ottonello (paquete 8 us.),frankfurter cortos Ottonello,Frankfurter cortos,Ottonello,Paquete 8 us.,8.0,UNIDADES,,True,False
frankfurter cortos Schneck (paquete 8 us.),frankfurter cortos Schneck,Frankfurter cortos,Schneck,Paquete 8 us.,8.0,UNIDADES,,True,False
Frankfurters cortos Centenario Paquete 8 us.,Frankfurters cortos Centenario,Frankfurters cortos,Centenario,Paquete 8 us.,8.0,UNIDADES,,True,False
Frankfurters cortos Ottonello Paquete 8 us.,Frankfurters cortos Ottonello,Frankfurters cortos,Ottonello,Paquete 8 us.,8.0,UNIDADES,,True,False
Frankfurters cortos Schneck Paquete 8 us.,Frankfurters cortos Schneck,Frankfurters cortos,Schneck,Paquete 8 us.,8.0,UNIDADES,,True,False
galletas saladas al agua El maestro cubano (paquete 120 grs.),galletas saladas al agua El maestro cubano,Galletas saladas al agua,El Maestro Cubano,Paquete 120 grs.,120.0,GR,,True,False
galletas saladas al agua Famosa (paquete 140 grs.),galletas saladas al agua Famosa,Galletas saladas al agua,Famosa,Paquete 140 grs.,140.0,GR,,True,False
Galletitas al agua Famosa Paquete 140 grs.,Galletitas al agua Famosa,Galletitas al agua,Famosa,Paquete 140 grs.,140.0,GR,,True,False
Galletitas al agua Maestro Cubano Paquete 120 grs.,Galletitas al agua Maestro Cubano,Galletitas al agua,Maestro Cubano,Paquete 120 grs.,120.0,GR,,True,False
Gasa estéril 40 us.,Gasa estéril,Gasa esteril,Sin marca,40 unidades,40.0,UNIDADES,,True,False
gasa esteril gasa esteril Sin marca (40 unidades),gasa esteril gasa esteril Sin marca,Gasa esteril,Sin marca,40 unidades,40.0,UNIDADES,,True,False
"gaseosa cola Coca-cola (botella 1,5 lt.)",gaseosa cola Coca-cola,Gaseosa cola,Coca-Cola,"Botella 1,5 lt.",5.0,LT,,True,False
"gaseosa cola Coca-cola (botella 2,25.lt.)",gaseosa cola Coca-cola,Gaseosa cola,Coca-Cola,"Botella 2,25.lt.",2.5,LT,,True,False
"gaseosa cola Pepsi-cola (botella 1,5 lt.)",gaseosa cola Pepsi-cola,Gaseosa cola,Pepsi-Cola,"Botella 1,5 lt.",5.0,LT,,True,False
gaseosa cola Pepsi-cola (botella 2 lt.),gaseosa cola Pepsi-cola,Gaseosa cola,Pepsi-Cola,Botella 2 lt.,2.0,LT,,True,False
"Gaseosa tipo cola (env. no ret.) Coca Cola Botella 1,5 lt.",Gaseosa tipo cola (env. no ret.) Coca Cola,Gaseosa tipo cola env no ret,Coca-Cola,"Botella 1,5 lt.",5.0,LT,,True,False
"Gaseosa tipo cola (env. no ret.) Coca Cola_ Botella 2,25.lt.",Gaseosa tipo cola (env. no ret.) Coca Cola_,Gaseosa tipo cola env no ret,Coca-Cola,"Botella 2,25.lt.",2.5,LT,,True,False
"Gaseosa tipo cola (env. no ret.) Pepsi Botella 1,5 lt.",Gaseosa tipo cola (env. no ret.) Pepsi,Gaseosa tipo cola env no ret,Pepsi,"Botella 1,5 lt.",5.0,LT,,True,False
Gaseosa tipo cola (env. no ret.) Pepsi Botella 2 lt.,Gaseosa tipo cola (env. no ret.) Pepsi,Gaseosa tipo cola env no ret,Pepsi,Botella 2 lt.,2.0,LT,,True,False
