Producto,producto_base,tipo_producto,marca,presentacion,presentacion_valor,presentacion_unidad,especificacion,es_producto_valido,requiere_revision
harina de trigo 0000 Canuelas (paquete 1 kg.),harina de trigo 0000 Canuelas,Harina de trigo 0000,Cañuelas,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 Cololo (paquete 1 kg.),harina de trigo 0000 Cololo,Harina de trigo 0000,Cololó,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 Devoto (paquete 1 kg.),harina de trigo 0000 Devoto,Harina de trigo 0000,Devoto,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 El dorado (paquete 1 kg.),harina de trigo 0000 El dorado,Harina de trigo 0000,El Dorado,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 Primor (paquete 1 kg.),harina de trigo 0000 Primor,Harina de trigo 0000,Primor,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 Tata (paquete 1 kg.),harina de trigo 0000 Tata,Harina de trigo 0000,Tata,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 0000 Tienda inglesa (paquete 1 kg.),harina de trigo 0000 Tienda inglesa,Harina de trigo 0000,Tienda Inglesa,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 000 Cañuelas Paquete 1 kg.,Harina trigo común 000 Cañuelas,Harina trigo comun 000,Cañuelas,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 000 Cololó Paquete 1 kg.,Harina trigo común 000 Cololó,Harina trigo comun 000,Cololó,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Cañuelas Paquete 1 kg.,Harina trigo común 0000 Cañuelas,Harina trigo comun 0000,Cañuelas,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Cololó Paquete 1 kg.,Harina trigo común 0000 Cololó,Harina trigo comun 0000,Cololó,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Granja La Sonrisa Paquete 1 kg.,Harina trigo común 0000 Granja La Sonrisa,Harina trigo comun 0000,Granja La Sonrisa,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Marca Propia Paquete 1 kg.,Harina trigo común 0000 Marca Propia,Harina trigo comun 0000,Marca Propia,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Marcas Propias Paquete 1 kg.,Harina trigo común 0000 Marcas Propias,Harina trigo comun 0000,Marcas Propias,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Precio Líder Paquete 1 kg.,Harina trigo común 0000 Precio Líder,Harina trigo comun 0000,Precio Lider,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Primor Paquete 1 kg.,Harina trigo común 0000 Primor,Harina trigo comun 0000,Primor,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Tata Paquete 1 kg.,Harina trigo común 0000 Tata,Harina trigo comun 0000,Tata,Paquete 1 kg.,1.0,KG,,True,False
Harina trigo común 0000 Tienda Inglesa Paquete 1 kg.,Harina trigo común 0000 Tienda Inglesa,Harina trigo comun 0000,Tienda Inglesa,Paquete 1 kg.,1.0,KG,,True,False
helado comun Conaprole (envase 1lt.),helado comun Conaprole,Helado comun,Conaprole,envase 1lt.,1.0,LT,,True,False
helado comun Crufi (envase 1lt.),helado comun Crufi,Helado comun,Crufi,envase 1lt.,1.0,LT,,True,False
Helado familiar Conaprole Envase 1lt.,Helado familiar Conaprole,Helado familiar,Conaprole,Envase 1lt.,1.0,LT,,True,False
Helado familiar Crufi Envase 1lt.,Helado familiar Crufi,Helado familiar,Crufi,Envase 1lt.,1.0,LT,,True,False
Hipoclorito de sodio Agua Jane Botella 1 lt.,Hipoclorito de sodio Agua Jane,Hipoclorito de sodio,Agua Jane,Botella 1 lt.,1.0,LT,,True,False
Hipoclorito de sodio Sello Rojo Botella 1 lt.,Hipoclorito de sodio Sello Rojo,Hipoclorito de sodio,Sello Rojo,Botella 1 lt.,1.0,LT,,True,False
Hipoclorito de sodio Solución Cristal Botella 1 lt.,Hipoclorito de sodio Solución Cristal,Hipoclorito de sodio,Solución Cristal,Botella 1 lt.,1.0,LT,,True,False
hipolclorito de sodio comun Agua jane (botella 1 lt.),hipolclorito de sodio comun Agua jane,Hipolclorito de sodio comun,Agua Jane,Botella 1 lt.,1.0,LT,,True,False
hipolclorito de sodio comun Sello rojo (botella 1 lt.),hipolclorito de sodio comun Sello rojo,Hipolclorito de sodio comun,Sello Rojo,Botella 1 lt.,1.0,LT,,True,False
hipolclorito de sodio comun Solucion cristal (botella 1 lt.),hipolclorito de sodio comun Solucion cristal,Hipolclorito de sodio comun,Solución Cristal,Botella 1 lt.,1.0,LT,,True,False
Huevos colorados El Jefe Envase 1/2 docena,Huevos colorados El Jefe,Huevos colorados,El Jefe,Envase 1/2 docena,6.0,UNIDADES,,True,False
huevos colorados El jefe (envase 1/2 docena),huevos colorados El jefe,Huevos colorados,El Jefe,Envase 1/2 docena,6.0,UNIDADES,,True,False
Huevos colorados Prodhin Envase 1/2 docena,Huevos colorados Prodhin,Huevos colorados,Prodhin,Envase 1/2 docena,6.0,UNIDADES,,True,False
huevos colorados Prodhin (envase 1/2 docena),huevos colorados Prodhin,Huevos colorados,Prodhin,Envase 1/2 docena,6.0,UNIDADES,,True,False
Huevos colorados Super huevo Envase 1/2 docena,Huevos colorados Super huevo,Huevos colorados,Super Huevo,Envase 1/2 docena,6.0,UNIDADES,,True,False
huevos colorados Super huevo (envase 1/2 docena),huevos colorados Super huevo,Huevos colorados,Super Huevo,Envase 1/2 docena,6.0,UNIDADES,,True,False
"Jabón de tocador Ann Bow, 140 grs.",Jabón de tocador Ann Bow,Jabon de tocador,Ann Bow,140 grs.,140.0,GR,,True,False
Jabón de tocador Astral plata Unidad 125 grs.,Jabón de tocador Astral plata,Jabon de tocador,Astral Plata,Unidad 125 grs.,125.0,GR,,True,False
"Jabón de tocador Dove Blanco, 90 grs.",Jabón de tocador Dove Blanco,Jabon de tocador,Dove,90 grs.,90.0,GR,Blanco,True,False
"Jabón de tocador Neutrogena Deep Clean, 80 grs.",Jabón de tocador Neutrogena Deep Clean,Jabon de tocador,Neutrogena,80 grs.,80.0,GR,Deep Clean,True,False
Jabón de tocador Palmolive Unidad 125 grs.,Jabón de tocador Palmolive,Jabon de tocador,Palmolive,Unidad 125 grs.,125.0,GR,,True,False
Jabón de tocador Rexona Unidad 125 grs.,Jabón de tocador Rexona,Jabon de tocador,Rexona,Unidad 125 grs.,125.0,GR,,True,False
jabon de tocador en barra Ann bow (140 grs.),jabon de tocador en barra Ann bow,Jabon de tocador en barra,Ann Bow,140 grs.,140.0,GR,,True,False
jabon de tocador en barra Astral plata (unidad 125 grs.),jabon de tocador en barra Astral plata,Jabon de tocador en barra,Astral Plata,Unidad 125 grs.,125.0,GR,,True,False
jabon de tocador en barra Dove original (90 grs.),jabon de tocador en barra Dove original,Jabon de tocador en barra,Dove,90 grs.,90.0,GR,Original,True,False
jabon de tocador en barra Neutrogena (80 grs.),jabon de tocador en barra Neutrogena,Jabon de tocador en barra,Neutrogena,80 grs.,80.0,GR,,True,False
jabon de tocador en barra Palmolive (unidad 125 grs.),jabon de tocador en barra Palmolive,Jabon de tocador en barra,Palmolive,unidad 125 grs.,125.0,GR,,True,False
jabon de tocador en barra Rexona (unidad 125 grs.),jabon de tocador en barra Rexona,Jabon de tocador en barra,Rexona,unidad 125 grs.,125.0,GR,,True,False
Jabón en polvo máquina Drive Paquete 800 grs.,Jabón en polvo máquina Drive,Jabon en polvo maquina,Drive,Paquete 800 grs.,800.0,GR,,True,False
Jabón en polvo máquina Nevex Paquete 800 grs.,Jabón en polvo máquina Nevex,Jabon en polvo maquina,Nevex,Paquete 800 grs.,800.0,GR,,True,False
Jabón en polvo máquina Skip - Paquete azul Paquete 800 grs.,Jabón en polvo máquina Skip -,Jabon en polvo maquina,Skip,Paquete 800 grs.,800.0,GR,,True,False
Jabón para ropa en barra Bull Dog Unidad 300 grs.,Jabón para ropa en barra Bull Dog,Jabon para ropa en barra,Bull Dog,Unidad 300 grs.,300.0,GR,,True,False
jabon para ropa en barra Bull dog (unidad 300 grs.),jabon para ropa en barra Bull dog,Jabon para ropa en barra,Bull Dog,unidad 300 grs.,300.0,GR,,True,False
Jabón para ropa en barra Nevex Unidad 200 grs.,Jabón para ropa en barra Nevex,Jabon para ropa en barra,Nevex,Unidad 200 grs.,200.0,GR,,True,False
jabon para ropa en barra Nevex (unidad 200 grs.),jabon para ropa en barra Nevex,Jabon para ropa en barra,Nevex,unidad 200 grs.,200.0,GR,,True,False
Jabón para ropa en barra Primor Unidad 300 grs.,Jabón para ropa en barra Primor,Jabon para ropa en barra,Primor,Unidad 300 grs.,300.0,GR,,True,False
jabon para ropa en barra Primor (unidad 200 grs.),jabon para ropa en barra Primor,Jabon para ropa en barra,Primor,unidad 200 grs.,200.0,GR,,True,False
jabon para ropa en polvo para maquina Drive (paquete 800 grs.),jabon para ropa en polvo para maquina Drive,Jabon para ropa en polvo para maquina,Drive,paquete 800 grs.,800.0,GR,,True,False
jabon para ropa en polvo para maquina Nevex (paquete 800 grs.),jabon para ropa en polvo para maquina Nevex,Jabon para ropa en polvo para maquina,Nevex,paquete 800 grs.,800.0,GR,,True,False
jabon para ropa en polvo para maquina Skip paquete azul (paquete 800 grs.),jabon para ropa en polvo para maquina Skip paquete azul,Jabon para ropa en polvo para maquina,Skip,paquete 800 grs.,800.0,GR,Paquete Azul,True,False
jamon cocido Cattivelli (1 kg.),jamon cocido Cattivelli,Jamon cocido,Cattivelli,1 kg.,1.0,KG,,True,False
jamon cocido Ottonello (1 kg.),jamon cocido Ottonello,Jamon cocido,Ottonello,1 kg.,1.0,KG,,True,False
Jamón cocido no artesanal Cattivelli 1 kg.,Jamón cocido no artesanal Cattivelli,Jamon cocido no artesanal,Cattivelli,1 kg.,1.0,KG,,True,False
Jamón cocido no artesanal Ottonello 1 kg.,Jamón cocido no artesanal Ottonello,Jamon cocido no artesanal,Ottonello,1 kg.,1.0,KG,,True,False
"Lechuga Crespa, 1 unidad",Lechuga Crespa,Lechuga,Sin marca,1 unidad,1.0,UNIDADES,Crespa,True,False
"Lechuga Mantecosa, 1 unidad",Lechuga Mantecosa,Lechuga,Sin marca,1 unidad,1.0,UNIDADES,Mantecosa,True,False
lechuga crespa Sin marca (1 unidad),lechuga crespa Sin marca,Lechuga,Sin marca,1 unidad,1.0,UNIDADES,Crespa,True,False
lechuga mantecosa Sin marca (1 unidad),lechuga mantecosa Sin marca,Lechuga,Sin marca,1 unidad,1.0,UNIDADES,Mantecosa,True,False
Leonesa Ottonello 1 kg.,Leonesa Ottonello,Leonesa,Ottonello,1 kg.,1.0,KG,,True,False
Leonesa Schneck 1 kg.,Leonesa Schneck,Leonesa,Schneck,1 kg.,1.0,KG,,True,False
leonesa comun Schneck (1 kg.),leonesa comun Schneck,Leonesa comun,Schneck,1 kg.,1.0,KG,,True,False
leonesa de pollo Ottonello (1 kg.),leonesa de pollo Ottonello,Leonesa de pollo,Ottonello,1 kg.,1.0,KG,,True,False
Manteca Calcar Envase 200 grs.,Manteca Calcar,Manteca,Calcar,Envase 200 grs.,200.0,GR,,True,False
Manteca Conaprole sin sal Envase 200 grs.,Manteca Conaprole sin sal,Manteca,Conaprole,Envase 200 grs.,200.0,GR,Sin Sal,True,False
Manteca Kasdorf Envase 200 grs.,Manteca Kasdorf,Manteca,Kasdorf,Envase 200 grs.,200.0,GR,,True,False
manteca sin sal Calcar (envase 200 grs.),manteca sin sal Calcar,Manteca sin sal,Calcar,envase 200 grs.,200.0,GR,,True,False
manteca sin sal Conaprole (envase 200 grs.),manteca sin sal Conaprole,Manteca sin sal,Conaprole,envase 200 grs.,200.0,GR,,True,False
manteca sin sal Kasdorf (envase 200 grs.),manteca sin sal Kasdorf,Manteca sin sal,Kasdorf,envase 200 grs.,200.0,GR,,True,False
"Manzana Fuji, 1 kg.",Manzana Fuji,Manzana,Sin marca,1 kg.,1.0,KG,Fuji,True,False
"Manzana Granny Smith, 1 kg.",Manzana Granny Smith,Manzana,Sin marca,1 kg.,1.0,KG,Granny Smith,True,False
"Manzana Red Deliciosa, 1 kg.",Manzana Red Deliciosa,Manzana,Sin marca,1 kg.,1.0,KG,Red Deliciosa,True,False
manzana fuji Sin marca (1 kg.),manzana fuji Sin marca,Manzana,Sin marca,1 kg.,1.0,KG,Fuji,True,False
manzana granny smith Sin marca (1 kg.),manzana granny smith Sin marca,Manzana,Sin marca,1 kg.,1.0,KG,Granny Smith,True,False
manzana red deliciosa Sin marca (1 kg.),manzana red deliciosa Sin marca,Manzana,Sin marca,1 kg.,1.0,KG,Red Deliciosa,True,False
Margarina Adorita Envase 250 grs.,Margarina Adorita,Margarina,Adorita,Envase 250 grs.,250.0,GR,,True,False
Margarina Doriana nueva Envase 250 grs.,Margarina Doriana nueva,Margarina,Doriana Nueva,Envase 250 grs.,250.0,GR,,True,False
Margarina Qualy Envase 250 grs.,Margarina Qualy,Margarina,Qualy,Envase 250 grs.,250.0,GR,,True,False
margarina con sal Adorita (envase 250 grs.),margarina con sal Adorita,Margarina con sal,Adorita,envase 250 grs.,250.0,GR,,True,False
margarina con sal Doriana nueva (envase 250 grs.),margarina con sal Doriana nueva,Margarina con sal,Doriana Nueva,envase 250 grs.,250.0,GR,,True,False
margarina con sal Qualy (envase 250 grs.),margarina con sal Qualy,Margarina con sal,Qualy,envase 250 grs.,250.0,GR,,True,False
Mayonesa común Hellmans Envase 500 grs.,Mayonesa común Hellmans,Mayonesa comun,Hellmans,Envase 500 grs.,500.0,GR,,True,False
mayonesa comun Hellmans (envase 500 grs.),mayonesa comun Hellmans,Mayonesa comun,Hellmans,envase 500 grs.,500.0,GR,,True,False
Mayonesa común Uruguay Envase 500 grs.,Mayonesa común Uruguay,Mayonesa comun,Uruguay,Envase 500 grs.,500.0,GR,,True,False
mayonesa comun Uruguay (envase 500 grs.),mayonesa comun Uruguay,Mayonesa comun,Uruguay,envase 500 grs.,500.0,GR,,True,False
Mermelada de durazno El Hogar Envase 500 grs.,Mermelada de durazno El Hogar,Mermelada de durazno,El Hogar,Envase 500 grs.,500.0,GR,,True,False
mermelada de durazno El hogar (envase 500 grs.),mermelada de durazno El hogar,Mermelada de durazno,El Hogar,envase 500 grs.,500.0,GR,,True,False
Mermelada de durazno Los Nietitos Envase 500 grs.,Mermelada de durazno Los Nietitos,Mermelada de durazno,Los Nietitos,Envase 500 grs.,500.0,GR,,True,False
mermelada de durazno Los nietitos (envase 500 grs.),mermelada de durazno Los nietitos,Mermelada de durazno,Los Nietitos,envase 500 grs.,500.0,GR,,True,False
nalga sin hueso Sin marca (1 kg.),nalga sin hueso Sin marca,Nalga sin hueso,Sin marca,1 kg.,1.0,KG,,True,False
Nalga vacuna Con Hueso - Sin Marca 1 kg.,Nalga vacuna Con Hueso - Sin Marca,Nalga vacuna,Sin marca,1 kg.,1.0,KG,Con Hueso,True,False
Nalga vacuna Sin Hueso - Sin Marca 1 kg.,Nalga vacuna Sin Hueso - Sin Marca,Nalga vacuna,Sin marca,1 kg.,1.0,KG,Sin Hueso,True,False
"Naranja Navel, 1 kg.",Naranja Navel,Naranja,Sin marca,1 kg.,1.0,KG,Navel,True,False
"Naranja Valencia, 1 kg.",Naranja Valencia,Naranja,Sin marca,1 kg.,1.0,KG,Valencia,True,False
naranja navel Sin marca (1 kg.),naranja navel Sin marca,Naranja,Sin marca,1 kg.,1.0,KG,Navel,True,False
paleta con hueso Sin marca (1 kg.),paleta con hueso Sin marca,Paleta con hueso,Sin marca,1 kg.,1.0,KG,,True,False
paleta sin hueso Sin marca (1 kg.),paleta sin hueso Sin marca,Paleta sin hueso,Sin marca,1 kg.,1.0,KG,,True,False
Paleta vacuna Con Hueso - Sin Marca 1 kg.,Paleta vacuna Con Hueso - Sin Marca,Paleta vacuna,Sin marca,1 kg.,1.0,KG,Con Hueso,True,False
Paleta vacuna Sin Hueso - Sin Marca 1 kg.,Paleta vacuna Sin Hueso - Sin Marca,Paleta vacuna,Sin marca,1 kg.,1.0,KG,Sin Hueso,True,False
pan de molde Bimbo (paquete 330 grs.),pan de molde Bimbo,Pan de molde,Bimbo,paquete 330 grs.,330.0,GR,,True,False
pan de molde Los sorchantes (paquete 330 grs.),pan de molde Los sorchantes,Pan de molde,Los Sorchantes,paquete 330 grs.,330.0,GR,,True,False
pan de molde Pan catalan (paquete 330 grs.),pan de molde Pan catalan,Pan de molde,Pan Catalan,paquete 330 grs.,330.0,GR,,True,False
Pan de molde lacteado Bimbo Paquete 330 grs.,Pan de molde lacteado Bimbo,Pan de molde lacteado,Bimbo,Paquete 330 grs.,330.0,GR,,True,False
Pan de molde lacteado Los Sorchantes Paquete 330 grs.,Pan de molde lacteado Los Sorchantes,Pan de molde lacteado,Los Sorchantes,Paquete 330 grs.,330.0,GR,,True,False
Pan de molde lacteado Pan Catalán Paquete 330 grs.,Pan de molde lacteado Pan Catalán,Pan de molde lacteado,Pan Catalan,Paquete 330 grs.,330.0,GR,,True,False
Pan flauta Sin marca Unidad aprox215 grs.,Pan flauta Sin marca,Pan flauta,Sin marca,Unidad aprox215 grs.,215.0,GR,,True,False
pan flauta Sin marca (unidad aprox215 grs.),pan flauta Sin marca,Pan flauta,Sin marca,unidad aprox215 grs.,215.0,GR,,True,False
"Pañales Babysec Premium Extra Extra Grande, 48 us.",Pañales Babysec Premium Extra Extra Grande,Panales,Babysec,48 us.,48.0,UNIDADES,Premium Extra Extra Grande,True,False
"Pañales Huggies Primeros 100 Dias Pequeño, 40 us.",Pañales Huggies Primeros 100 Dias Pequeño,Panales,Huggies,40 us.,40.0,UNIDADES,Primeros 100 Dias Pequeno,True,False
"Pañales Adultos Readysec Grande, 24 us.",Pañales Adultos Readysec Grande,Panales adultos,Readysec,24 us.,24.0,UNIDADES,Grande,True,False
panales para adultos comun Readysec (24 unidades),panales para adultos comun Readysec,Panales para adultos comun,Readysec,24 unidades,24.0,UNIDADES,,True,False
panales para ninos comun Babysec (48 unidades),panales para ninos comun Babysec,Panales para ninos comun,Babysec,48 unidades,48.0,UNIDADES,,True,False
panales para ninos comun Huggies (40 unidades),panales para ninos comun Huggies,Panales para ninos comun,Huggies,40 unidades,40.0,UNIDADES,,True,False
"Papa Blanca, 1 kg.",Papa Blanca,Papa,Sin marca,1 kg.,1.0,KG,Blanca,True,False
"Papa Rosada, 1 kg.",Papa Rosada,Papa,Sin marca,1 kg.,1.0,KG,Rosada,True,False
papa blanca Sin marca (1 kg.),papa blanca Sin marca,Papa,Sin marca,1 kg.,1.0,KG,Blanca,True,False
papa rosada Sin marca (1 kg.),papa rosada Sin marca,Papa,Sin marca,1 kg.,1.0,KG,Rosada,True,False
Papel higiénico hoja simple Elite 4 rollos de 30 mts.,Papel higiénico hoja simple Elite,Papel higienico hoja simple,Elite,4 rollos de 30 mts.,4.0,ROLLOS,,True,False
papel higienico hoja simple Elite (4 rollos de 30 mts.),papel higienico hoja simple Elite,Papel higienico hoja simple,Elite,4 rollos de 30 mts.,4.0,ROLLOS,,True,False
Papel higiénico hoja simple Higienol Export 4 rollos de 30 mts.,Papel higiénico hoja simple Higienol Export,Papel higienico hoja simple,Higienol Export,4 rollos de 30 mts.,4.0,ROLLOS,,True,False
papel higienico hoja simple Higienol export (4 rollos de 30 mts.),papel higienico hoja simple Higienol export,Papel higienico hoja simple,Higienol Export,4 rollos de 30 mts.,4.0,ROLLOS,,True,False
Papel higiénico hoja simple Sin Fin 4 rollos de 50 mts.,Papel higiénico hoja simple Sin Fin,Papel higienico hoja simple,Sin Fin,4 rollos de 50 mts.,4.0,ROLLOS,,True,False
papel higienico hoja simple Sin fin (4 rollos de 50 mts.),papel higienico hoja simple Sin fin,Papel higienico hoja simple,Sin Fin,4 rollos de 50 mts.,4.0,ROLLOS,,True,False
Pasta dental Colgate Herbal Blanqueador Unidad 90 grs.,Pasta dental Colgate Herbal Blanqueador,Pasta dental,Colgate,Unidad 90 grs.,90.0,GR,Herbal Blanqueador,True,False
Pasta dental Kolynos Triple acción Unidad 90 grs.,Pasta dental Kolynos Triple acción,Pasta dental,Kolynos,Unidad 90 grs.,90.0,GR,Triple Accion,True,False
Pasta dental Pico Jenner Plus Unidad 90 grs.,Pasta dental Pico Jenner Plus,Pasta dental,Pico Jenner,Unidad 90 grs.,90.0,GR,Plus,True,False
pasta dental comun Colgate herbal blanqueador (90 grs.),pasta dental comun Colgate herbal blanqueador,Pasta dental comun,Colgate,90 grs.,90.0,GR,Herbal Blanqueador,True,False
pasta dental comun Kolynos triple accion (90 grs.),pasta dental comun Kolynos triple accion,Pasta dental comun,Kolynos,90 grs.,90.0,GR,Triple Accion,True,False
pasta dental comun Pico jenner plus (90 grs.),pasta dental comun Pico jenner plus,Pasta dental comun,Pico Jenner,90 grs.,90.0,GR,Plus,True,False
peceto sin hueso Sin marca (1 kg.),peceto sin hueso Sin marca,Peceto sin hueso,Sin marca,1 kg.,1.0,KG,,True,False
Peceto vacuno Sin Marca 1 kg.,Peceto vacuno Sin Marca,Peceto vacuno,Sin marca,1 kg.,1.0,KG,,True,False
"Bebe & Co Colonia + Talco, 120 ml.",Bebe & Co Colonia + Talco,Perfume,Bebe & Co,120 ml.,120.0,ML,Colonia Talco,True,False
"Perfume Casapueblo 24 Heures Blue Edt, 100 ml.",Perfume Casapueblo 24 Heures Blue Edt,Perfume,Casapueblo,100 ml.,100.0,ML,24 Heures Blue Edt,True,False
"Perfume Delice Candy, 50 ml.",Perfume Delice Candy,Perfume,Delice Candy,50 ml.,50.0,ML,,True,False
perfume comun Bebe & co. (120 ml.),perfume comun Bebe & co.,Perfume comun,Bebe & Co,120 ml.,120.0,ML,,True,False
perfume comun Casapueblo (100 ml.),perfume comun Casapueblo,Perfume comun,Casapueblo,100 ml.,100.0,ML,,True,False
perfume comun Delice candy (50 ml.),perfume comun Delice candy,Perfume comun,Delice Candy,50 ml.,50.0,ML,,True,False
Pescado fresco bifes de merluz - sin marca 1 kg.,Pescado fresco bifes de merluz - sin marca,Pescado fresco bifes de merluz,Sin marca,1 kg.,1.0,KG,,True,False
pescado fresco bifes de merluza Sin marca (1 kg.),pescado fresco bifes de merluza Sin marca,Pescado fresco bifes de merluza,Sin marca,1 kg.,1.0,KG,,True,False
pollo entero con menudos fresco Avicolas del oeste (1 kg.),pollo entero con menudos fresco Avicolas del oeste,Pollo entero con menudos fresco,Avicolas del Oeste,1 kg.,1.0,KG,,True,False
pollo entero con menudos fresco Tres arroyos (1 kg.),pollo entero con menudos fresco Tres arroyos,Pollo entero con menudos fresco,Tres Arroyos,1 kg.,1.0,KG,,True,False
Pollo entero fresco con menudos Avícola del Oeste 1 kg.,Pollo entero fresco con menudos Avícola del Oeste,Pollo entero fresco con menudos,Avícola del Oeste,1 kg.,1.0,KG,,True,False
Pollo entero fresco con menudos Tres Arroyos 1 kg.,Pollo entero fresco con menudos Tres Arroyos,Pollo entero fresco con menudos,Tres Arroyos,1 kg.,1.0,KG,,True,False
Protector solar SPF 20 Dermaglós 250 ml.,Protector solar SPF 20 Dermaglós,Protector solar,Dermaglós,250 ml.,250.0,ML,Spf 20,True,False
Protector solar SPF 40 Dermaglós 250 ml.,Protector solar SPF 40 Dermaglós,Protector solar,Dermaglós,250 ml.,250.0,ML,Spf 40,True,False
protector solar spf 20 Dermaglos (250 ml.),protector solar spf 20 Dermaglos,Protector solar,Dermaglós,250 ml.,250.0,ML,Spf 20,True,False
protector solar spf 40 Dermaglos (250 ml.),protector solar spf 40 Dermaglos,Protector solar,Dermaglós,250 ml.,250.0,ML,Spf 40,True,False
Protector solar SPF 50 Eucerin 150 ml.,Protector solar SPF 50 Eucerin,Protector solar,Eucerin,150 ml.,150.0,ML,Spf 50,True,False
Protector solar SPF 30 Hawaiian Tropic 180 ml.,Protector solar SPF 30 Hawaiian Tropic,Protector solar,Hawaiian Tropic,180 ml.,180.0,ML,Spf 30,True,False
Protector solar SPF 80 Hawaiian Tropic 240 ml.,Protector solar SPF 80 Hawaiian Tropic,Protector solar,Hawaiian Tropic,240 ml.,240.0,ML,Spf 80,True,False
protector solar spf 30 Hawaiian tropic (180 ml.),protector solar spf 30 Hawaiian tropic,Protector solar,Hawaiian Tropic,180 ml.,180.0,ML,Spf 30,True,False
protector solar spf 50 Hawaiian tropic (240 ml.),protector solar spf 50 Hawaiian tropic,Protector solar,Hawaiian Tropic,240 ml.,240.0,ML,Spf 50,True,False
Protector solar SPF 60 Soundown 120 ml.,Protector solar SPF 60 Soundown,Protector solar,Soundown,120 ml.,120.0,ML,Spf 60,True,False
protector solar spf 60 Sundown (120 ml.),protector solar spf 60 Sundown,Protector solar,Sundown,120 ml.,120.0,ML,Spf 60,True,False
Pulpa de tomate Conaprole Envase 1 lt.,Pulpa de tomate Conaprole,Pulpa de tomate,Conaprole,Envase 1 lt.,1.0,LT,,True,False
"Pulpa de tomate De Ley Envase 1,020 lt.",Pulpa de tomate De Ley,Pulpa de tomate,De Ley,"Envase 1,020 lt.",20.0,LT,,True,False
Pulpa de tomate Gourmet Envase 1 lt.,Pulpa de tomate Gourmet,Pulpa de tomate,Gourmet,Envase 1 lt.,1.0,LT,,True,False
pulpa de tomate concentrada comun Conaprole (envase 1 lt.),pulpa de tomate concentrada comun Conaprole,Pulpa de tomate concentrada comun,Conaprole,envase 1 lt.,1.0,LT,,True,False
"pulpa de tomate concentrada comun De ley (envase 1,020 lt.)",pulpa de tomate concentrada comun De ley,Pulpa de tomate concentrada comun,De Ley,"envase 1,020 lt.",1.2,LT,,True,False
pulpa de tomate concentrada comun Gourmet (envase 1 lt.),pulpa de tomate concentrada comun Gourmet,Pulpa de tomate concentrada comun,Gourmet,envase 1 lt.,1.0,LT,,True,False
Queso rallado Artesano Paquete 80 grs.,Queso rallado Artesano,Queso rallado,Artesano,Paquete 80 grs.,80.0,GR,,True,False
queso rallado Artesano (paquete 80 grs.),queso rallado Artesano,Queso rallado,Artesano,paquete 80 grs.,80.0,GR,,True,False
Queso rallado Conaprole Paquete 80 grs.,Queso rallado Conaprole,Queso rallado,Conaprole,Paquete 80 grs.,80.0,GR,,True,False
queso rallado Conaprole (paquete 80 grs.),queso rallado Conaprole,Queso rallado,Conaprole,paquete 80 grs.,80.0,GR,,True,False
Queso rallado Milky Paquete 80 grs.,Queso rallado Milky,Queso rallado,Milky,Paquete 80 grs.,80.0,GR,,True,False
queso rallado Milky (paquete 80 grs.),queso rallado Milky,Queso rallado,Milky,paquete 80 grs.,80.0,GR,,True,False
"Repelente aerosol Júpiter, 165 cm3",Repelente aerosol Júpiter,Repelente aerosol,Júpiter,165 cm3,165,CM3,,True,False
"Repelente aerosol Off! Family Aerosol, 170cm3",Repelente aerosol Off! Family Aerosol,Repelente aerosol,Off,170 cm3,170,CM3,Family Aerosol,True,False
"Repelente aerosol Off! Larga Duración, 170 cm3",Repelente aerosol Off! Larga Duración,Repelente aerosol,Off,170 cm3,170,CM3,Larga Duracion,True,False
"Repelente crema Júpiter, 80 grs.",Repelente crema Júpiter,Repelente crema,Júpiter,80 grs.,80.0,GR,,True,False
"Repelente crema Off! Family, 200 grs.",Repelente crema Off! Family,Repelente crema,Off,200 grs.,200.0,GR,Family,True,False
"Repelente crema Off! Kids, 90grs.",Repelente crema Off! Kids,Repelente crema,Off,90grs.,90.0,GR,Kids,True,False
repelente de mosquitos aerosol Jupiter (165 cm3),repelente de mosquitos aerosol Jupiter,Repelente de mosquitos aerosol,Júpiter,165 cm3,165,CM3,,True,False
repelente de mosquitos aerosol Off! (170 cm3),repelente de mosquitos aerosol Off!,Repelente de mosquitos aerosol,Off,170 cm3,170,CM3,,True,False
