Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
afeitadora descartable Gillette (2 unidades);afeitadora descartable Gillette;Afeitadora;Gillette;Empaque 2 Unidades;Empaque;2.0;UNIDADES;descartable;Afeitadora descartable;;
afeitadora descartable Schick (1 unidad);afeitadora descartable Schick;Afeitadora;Schick;Empaque 1 Unidad;Empaque;1.0;UNIDADES;descartable;Afeitadora descartable;;
Agua de mesa con gas Matutina Envase 2 lt.;Agua de mesa con gas Matutina;Agua;Matutina;Envase 2 lt.;Envase;2.0;LT;de mesa con gas;Agua de mesa con gas;;
Agua de mesa con gas Nativa Envase 2 lt.;Agua de mesa con gas Nativa;Agua;Nativa;Envase 2 lt.;Envase;2.0;LT;de mesa con gas;Agua de mesa con gas;;
Agua de mesa con gas Salus Envase 2,25 lt.;Agua de mesa con gas Salus;Agua;Salus;Envase 2,25 lt.;Envase;2.25;LT;de mesa con gas;Agua de mesa con gas;;
Agua de mesa sin gas Matutina 2,5 lts;Agua de mesa sin gas Matutina;Agua;Matutina;Envase 2,5 lts;Envase;5.0;LT;de mesa sin gas;Agua de mesa sin gas;;
Agua de mesa sin gas Salus 2,25 lts;Agua de mesa sin gas Salus;Agua;Salus;Envase 2,25 lts;Envase;2.25;LT;de mesa sin gas;Agua de mesa sin gas;;
Agua de mesa sin gas Vitale 2,5 lts;Agua de mesa sin gas Vitale;Agua;Vitale;Envase 2,5 lts;Envase;5.0;LT;de mesa sin gas;Agua de mesa sin gas;;
agua mineral con gas Matutina (envase 2,5 lt.);agua mineral con gas Matutina;Agua ;Matutina;Envase 2,5 lt.;Envase;2.25;LT;mineral con gas;Agua  mineral con gas;;
agua mineral con gas Nativa (envase 2,5 lt.);agua mineral con gas Nativa;Agua ;Nativa;Envase 2,5 lt.;Envase;2.25;LT;mineral con gas;Agua  mineral con gas;;
agua mineral con gas Salus (envase 2,25 lt.);agua mineral con gas Salus;Agua ;Salus;Envase 2,25 lt.;Envase;2.25;LT;mineral con gas;Agua  mineral con gas;;
agua mineral sin gas Matutina (envase 2,5lt.);agua mineral sin gas Matutina;Agua ;Matutina;Envase 2,5lt.;Envase;5.0;LT;mineral sin gas;Agua  mineral sin gas;;
agua mineral sin gas Nativa (envase 6lt.);agua mineral sin gas Nativa;Agua ;Nativa;Envase 6lt.;Envase;6.0;LT;mineral sin gas;Agua  mineral sin gas;;
agua mineral sin gas Salus (envase 2,25lt.);agua mineral sin gas Salus;Agua ;Salus;Envase 2,25lt.;Envase;25.0;LT;mineral sin gas;Agua  mineral sin gas;;
